#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
616000	62527.9296875	10319.298155	122.580229205	6749.99980563	0.00166053883015	8.89e+03
620000	62556.8515625	10327.4107166	122.676596191	6749.99980563	0.00166053883015	8.89e+03
624000	62578.4335938	10092.5182609	119.886370477	6749.99980563	0.00166053883015	8.89e+03
628000	62562.78125	9954.31024647	118.244633817	6749.99980563	0.00166053883015	8.89e+03
632000	62542.140625	9989.43694884	118.661894677	6749.99980563	0.00166053883015	8.89e+03
636000	62572.125	10260.2679345	121.879024738	6749.99980563	0.00166053883015	8.89e+03
640000	62549.3203125	10127.3547248	120.30018367	6749.99980563	0.00166053883015	8.89e+03
644000	62531.2695312	9968.24399959	118.410149206	6749.99980563	0.00166053883015	8.89e+03
648000	62483.671875	10240.2734631	121.641515669	6749.99980563	0.00166053883015	8.88e+03
652000	62529.859375	10198.7387292	121.148135488	6749.99980563	0.00166053883015	8.88e+03
656000	62595.640625	10128.6968593	120.316126533	6749.99980563	0.00166053883015	8.88e+03
660000	62551.3984375	10059.623897	119.495626978	6749.99980563	0.00166053883015	8.88e+03
664000	62540.3671875	10162.2748928	120.714991164	6749.99980563	0.00166053883015	8.88e+03
668000	62523.703125	10199.0448151	121.151771402	6749.99980563	0.00166053883015	8.88e+03
672000	62542.7265625	10344.5779983	122.880521815	6749.99980563	0.00166053883015	8.87e+03
676000	62558.7578125	10237.0992344	121.603809842	6749.99980563	0.00166053883015	8.87e+03
680000	62522.3789062	10066.387852	119.57597422	6749.99980563	0.00166053883015	8.87e+03
684000	62535.7578125	10031.9264618	119.166616429	6749.99980563	0.00166053883015	8.87e+03
688000	62566.25	10087.8340711	119.830728218	6749.99980563	0.00166053883015	8.87e+03
692000	62527.5859375	10366.5319218	123.1413067	6749.99980563	0.00166053883015	8.86e+03
696000	62529.671875	10124.9657502	120.27180567	6749.99980563	0.00166053883015	8.86e+03
