Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     AA:Epsilon           AA:Sigma             AA:B                 AA:Kappa             AA:Dist0             BB:Epsilon           BB:Sigma             BB:B                 BB:Kappa             BB:Dist0             AB:Epsilon           AB:Sigma             AB:B                 AB:Kappa             AB:Dist0             Uext:UConst          Uext:NPeriods       
26         LSB  -3.5824e+00  0.0000e+00   -3.5824e+00  1.6708e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2605e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
27         LSB  -3.6069e+00  0.0000e+00   -3.6069e+00  1.6708e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2613e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
28         LSB  -3.6476e+00  0.0000e+00   -3.6476e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2627e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
29         LSB  -3.6774e+00  0.0000e+00   -3.6774e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2642e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
30         LSB  -3.6962e+00  0.0000e+00   -3.6962e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2656e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
31         LSB  -3.7040e+00  0.0000e+00   -3.7040e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2670e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
32         LSB  -3.7009e+00  0.0000e+00   -3.7009e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2685e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
33         LSP  -3.7043e+00  0.0000e+00   -3.7043e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2674e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
34         LSP  -3.7043e+00  0.0000e+00   -3.7043e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2674e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
35         CG   -3.7043e+00  0.0000e+00   -3.7043e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2674e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
35         F    -3.7043e+00  0.0000e+00   -3.7043e+00  3.3415e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2674e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
