#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
412000	58395.6640625	10123.1330498	120.250035503	6750.0	0.00166053878234	3.48e+03
416000	58336.6132812	10161.346299	120.703960642	6750.0	0.00166053878234	3.48e+03
420000	58459.2929688	10059.8545605	119.498366969	6750.0	0.00166053878234	3.48e+03
424000	58374.375	10113.0770097	120.130582448	6750.0	0.00166053878234	3.48e+03
428000	58412.4882812	10249.8769086	121.755592473	6750.0	0.00166053878234	3.48e+03
432000	58399.359375	10050.9895287	119.393061588	6750.0	0.00166053878234	3.48e+03
436000	58519.2539062	10099.2087728	119.965845308	6750.0	0.00166053878234	3.48e+03
440000	58377.1796875	10054.9751835	119.440406133	6750.0	0.00166053878234	3.48e+03
444000	58400.2929688	10148.1829564	120.547596757	6750.0	0.00166053878234	3.48e+03
448000	58404.03125	10104.331331	120.02669483	6750.0	0.00166053878234	3.48e+03
452000	58426.796875	10206.3452268	121.238491072	6750.0	0.00166053878234	3.48e+03
456000	58368.28125	10042.0002568	119.28628039	6750.0	0.00166053878234	3.48e+03
460000	58366.0234375	10029.8330912	119.14174983	6750.0	0.00166053878234	3.48e+03
464000	58439.75	9965.7086111	118.380031993	6750.0	0.00166053878234	3.48e+03
468000	58465.3046875	10235.5839947	121.585810708	6750.0	0.00166053878234	3.48e+03
472000	58410.7890625	10103.0300479	120.011237231	6750.0	0.00166053878234	3.48e+03
476000	58487.4804688	10001.6442825	118.806902383	6750.0	0.00166053878234	3.48e+03
480000	58421.1210938	10187.3490647	121.012840658	6750.0	0.00166053878234	3.48e+03
484000	58411.9609375	10169.343192	120.798953631	6750.0	0.00166053878234	3.48e+03
488000	58476.5859375	10193.6659908	121.087877763	6750.0	0.00166053878234	3.48e+03
492000	58477.390625	9984.38919479	118.601933734	6750.0	0.00166053878234	3.48e+03
496000	58332.6835938	10114.6932092	120.149780857	6750.0	0.00166053878234	3.48e+03
500000	58573.3398438	10051.6197608	119.400547948	6750.0	0.00166053878234	3.48e+03
504000	58398.078125	10091.8906998	119.878915844	6750.0	0.00166053878234	3.5e+03
508000	58380.8359375	9981.30447851	118.565291201	6750.0	0.00166053878234	3.52e+03
512000	58410.984375	10298.8914949	122.337823855	6750.0	0.00166053878234	3.54e+03
516000	58427.8476562	10182.8505512	120.959404	6750.0	0.00166053878234	3.56e+03
520000	58402.734375	10172.9406855	120.841687311	6750.0	0.00166053878234	3.58e+03
524000	58414.6679688	10117.9789748	120.188811602	6750.0	0.00166053878234	3.6e+03
528000	58365.03125	10121.1893606	120.226946931	6750.0	0.00166053878234	3.63e+03
532000	58466.5234375	10153.0999371	120.606004278	6750.0	0.00166053878234	3.65e+03
536000	58438.9765625	10159.9209375	120.687029148	6750.0	0.00166053878234	3.67e+03
540000	58412.3671875	10122.8694667	120.246904469	6750.0	0.00166053878234	3.69e+03
544000	58447.9882812	10194.4063731	121.096672568	6750.0	0.00166053878234	3.71e+03
548000	58365.6054688	10152.9496469	120.60421902	6750.0	0.00166053878234	3.73e+03
552000	58446.0859375	10240.0374771	121.638712454	6750.0	0.00166053878234	3.75e+03
556000	58403.953125	10237.3259671	121.60650314	6750.0	0.00166053878234	3.77e+03
560000	58501.2265625	10063.0060409	119.535802576	6750.0	0.00166053878234	3.79e+03
564000	58451.6484375	10131.8802974	120.353941757	6750.0	0.00166053878234	3.81e+03
568000	58449.7109375	10085.7734054	119.806250112	6750.0	0.00166053878234	3.83e+03
572000	58416.1289062	10060.7612223	119.509136967	6750.0	0.00166053878234	3.85e+03
576000	58490.6523438	10150.8968036	120.579833834	6750.0	0.00166053878234	3.87e+03
580000	58380.8789062	10062.208941	119.526334035	6750.0	0.00166053878234	3.89e+03
584000	58432.3359375	10218.717031	121.385452482	6750.0	0.00166053878234	3.9e+03
588000	58432.0234375	10006.4410457	118.863881872	6750.0	0.00166053878234	3.92e+03
592000	58500.0273438	10271.253789	122.009522815	6750.0	0.00166053878234	3.94e+03
596000	58421.4492188	10128.7680927	120.316972696	6750.0	0.00166053878234	3.96e+03
600000	58409.7382812	10119.8259026	120.210750772	6750.0	0.00166053878234	3.98e+03
604000	58323.140625	10066.2539978	119.574384202	6750.0	0.00166053878234	4e+03
608000	58493.15625	10114.3274039	120.145435551	6750.0	0.00166053878234	4.02e+03
612000	58360.28125	10175.9717164	120.877692129	6750.0	0.00166053878234	4.03e+03
616000	58413.296875	10298.9469111	122.33848213	6750.0	0.00166053878234	4.05e+03
620000	58422.1171875	10165.737326	120.756120497	6750.0	0.00166053878234	4.07e+03
624000	58455.4375	10150.7534999	120.578131567	6750.0	0.00166053878234	4.09e+03
628000	58414.78125	10098.9164005	119.962372295	6750.0	0.00166053878234	4.11e+03
632000	58362.9609375	10066.4304809	119.576480598	6750.0	0.00166053878234	4.12e+03
636000	58404.390625	10172.0460623	120.831060317	6750.0	0.00166053878234	4.14e+03
640000	58482.796875	10045.5405475	119.328334573	6750.0	0.00166053878234	4.16e+03
644000	58442.4101562	10138.4716833	120.432239097	6750.0	0.00166053878234	4.17e+03
648000	58416.1953125	10162.467687	120.717281315	6750.0	0.00166053878234	4.19e+03
652000	58461.4765625	10216.228593	121.355892981	6750.0	0.00166053878234	4.21e+03
656000	58363.8203125	10247.6528963	121.729174016	6750.0	0.00166053878234	4.23e+03
660000	58469.0507812	10180.2796764	120.928865253	6750.0	0.00166053878234	4.24e+03
664000	58490.1875	10218.5813965	121.383841315	6750.0	0.00166053878234	4.26e+03
668000	58520.4296875	10066.9699703	119.582889051	6750.0	0.00166053878234	4.28e+03
672000	58383.8125	10209.8632533	121.280280784	6750.0	0.00166053878234	4.29e+03
676000	58386.71875	10063.1484952	119.537494754	6750.0	0.00166053878234	4.31e+03
680000	58487.28125	10284.4331249	122.16607668	6750.0	0.00166053878234	4.32e+03
684000	58506.703125	10010.3294376	118.910071058	6750.0	0.00166053878234	4.34e+03
688000	58420.3710938	10012.0668777	118.930709652	6750.0	0.00166053878234	4.36e+03
692000	58386.3046875	10324.3143056	122.639814739	6750.0	0.00166053878234	4.37e+03
696000	58451.96875	10159.6041295	120.683265868	6750.0	0.00166053878234	4.39e+03
700000	58494.2070312	10118.7418631	120.197873751	6750.0	0.00166053878234	4.4e+03
704000	58504.7617188	10090.2196135	119.859065449	6750.0	0.00166053878234	4.42e+03
708000	58480.9023438	10111.254862	120.108937634	6750.0	0.00166053878234	4.43e+03
712000	58521.1054688	10354.9448149	123.003666504	6750.0	0.00166053878234	4.45e+03
716000	58435.6171875	10039.2777564	119.253940524	6750.0	0.00166053878234	4.47e+03
720000	58443.15625	10069.4065582	119.611832638	6750.0	0.00166053878234	4.48e+03
724000	58488.171875	10013.7178545	118.95032117	6750.0	0.00166053878234	4.5e+03
728000	58408.6875	10120.0331821	120.21321299	6750.0	0.00166053878234	4.51e+03
732000	58454.9570312	10210.1991264	121.284270533	6750.0	0.00166053878234	4.53e+03
736000	58492.4804688	10109.0005839	120.082159657	6750.0	0.00166053878234	4.54e+03
740000	58422.0234375	10008.5977624	118.889500942	6750.0	0.00166053878234	4.55e+03
744000	58488.140625	10171.9025168	120.829355178	6750.0	0.00166053878234	4.57e+03
748000	58467.6835938	10144.8042411	120.507461887	6750.0	0.00166053878234	4.58e+03
752000	58580.6484375	10182.7887749	120.958670175	6750.0	0.00166053878234	4.6e+03
756000	58427.3945312	10111.0826073	120.106891466	6750.0	0.00166053878234	4.61e+03
