
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL AA

arg         target      model       
3.9297e+00  2.1941e+05  2.1949e+05  
3.9795e+00  2.2507e+05  2.2479e+05  
4.0293e+00  2.3035e+05  2.3024e+05  
4.0791e+00  2.3582e+05  2.3572e+05  
4.1288e+00  2.4140e+05  2.4119e+05  
4.1786e+00  2.4713e+05  2.4699e+05  
4.2284e+00  2.5254e+05  2.5257e+05  
4.2782e+00  2.5873e+05  2.5814e+05  
4.3280e+00  2.6438e+05  2.6404e+05  
4.3777e+00  2.7040e+05  2.6975e+05  
4.4275e+00  2.7633e+05  2.7576e+05  
4.4773e+00  2.8201e+05  2.8167e+05  
4.5271e+00  2.8850e+05  2.8788e+05  
4.5769e+00  2.9458e+05  2.9392e+05  
4.6266e+00  3.0073e+05  3.0032e+05  
4.6764e+00  3.0672e+05  3.0642e+05  
4.7262e+00  3.1321e+05  3.1262e+05  
4.7760e+00  3.1942e+05  3.1877e+05  
4.8258e+00  3.2590e+05  3.2543e+05  
4.8756e+00  3.3231e+05  3.3179e+05  
4.9253e+00  3.3853e+05  3.3812e+05  
4.9751e+00  3.4520e+05  3.4473e+05  

POTENTIAL AB

arg         target      model       
4.2360e-02  2.2077e+00  2.3330e+01  
9.2186e-02  8.4294e+00  9.9779e+01  
1.4201e-01  2.6191e+01  2.1812e+02  
1.9184e-01  4.6562e+01  4.0546e+02  
2.4166e-01  7.9176e+01  6.2825e+02  
2.9149e-01  1.4119e+02  9.2119e+02  
3.4131e-01  2.2218e+02  1.2616e+03  
3.9114e-01  3.5404e+02  1.6594e+03  
4.4096e-01  5.3808e+02  2.1300e+03  
4.9079e-01  8.0240e+02  2.6197e+03  
5.4062e-01  1.1582e+03  3.1902e+03  
5.9044e-01  1.6538e+03  3.8418e+03  
6.4027e-01  2.3330e+03  4.5046e+03  
6.9009e-01  3.1189e+03  5.2488e+03  
7.3992e-01  4.1324e+03  6.0264e+03  
7.8974e-01  5.3284e+03  6.9111e+03  
8.3957e-01  6.7459e+03  7.8196e+03  
8.8939e-01  8.2535e+03  8.8072e+03  
9.3922e-01  9.9054e+03  9.8756e+03  
9.8905e-01  1.1663e+04  1.1023e+04  
1.0389e+00  1.3437e+04  1.2154e+04  
1.0887e+00  1.5130e+04  1.3397e+04  
