Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     Global:Charge(2)     LJGaussAA:Epsilon    LJGaussAA:Sigma      LJGaussAA:B          LJGaussAA:Kappa      LJGaussAA:Dist0      LJGaussBB:Epsilon    LJGaussBB:Sigma      LJGaussBB:B          LJGaussBB:Kappa      LJGaussBB:Dist0      LJGaussAB:Epsilon    LJGaussAB:Sigma      LJGaussAB:B          LJGaussAB:Kappa      LJGaussAB:Dist0      LJGaussAC:Epsilon    LJGaussAC:Sigma      LJGaussAC:B          LJGaussAC:Kappa      LJGaussAC:Dist0      LJGaussBC:Epsilon    LJGaussBC:Sigma      LJGaussBC:B          LJGaussBC:Kappa      LJGaussBC:Dist0      ExtSin:UConst        ExtSin:NPeriods     
21         LSB  -5.3876e-01  0.0000e+00   -5.3876e-01  1.0000e-02   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2760e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
22         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-03   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
23         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-04   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
24         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-05   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
25         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
26         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
27         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-08   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
28         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-09   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
29         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-10   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
30         LSB  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-10   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
31         LSP  -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-10   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
32         CG   -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-10   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
32         F    -5.3877e-01  0.0000e+00   -5.3877e-01  1.0000e-10   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2759e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
