
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
4.5321e+00  2.2280e+05  2.2328e+05  
4.5920e+00  2.2879e+05  2.2926e+05  
4.6520e+00  2.3474e+05  2.3513e+05  
4.7119e+00  2.4076e+05  2.4135e+05  
4.7718e+00  2.4692e+05  2.4737e+05  
4.8317e+00  2.5321e+05  2.5370e+05  
4.8916e+00  2.5942e+05  2.5989e+05  
4.9515e+00  2.6578e+05  2.6636e+05  
5.0114e+00  2.7223e+05  2.7278e+05  
5.0714e+00  2.7880e+05  2.7938e+05  
5.1313e+00  2.8544e+05  2.8607e+05  
5.1912e+00  2.9205e+05  2.9279e+05  
5.2511e+00  2.9877e+05  2.9949e+05  
5.3110e+00  3.0567e+05  3.0647e+05  
5.3709e+00  3.1249e+05  3.1333e+05  
5.4308e+00  3.1942e+05  3.2040e+05  
5.4907e+00  3.2650e+05  3.2732e+05  
5.5507e+00  3.3362e+05  3.3466e+05  
5.6106e+00  3.4094e+05  3.4161e+05  
5.6705e+00  3.4816e+05  3.4887e+05  
5.7304e+00  3.5546e+05  3.5627e+05  
5.7903e+00  3.6293e+05  3.6368e+05  
5.8502e+00  3.7043e+05  3.7125e+05  
5.9101e+00  3.7800e+05  3.7860e+05  
5.9700e+00  3.8559e+05  3.8655e+05  

POTENTIAL LJGaussAB

arg         target      model       
4.2038e-02  3.7492e+00  3.7572e+01  
1.0192e-01  2.0090e+01  2.0516e+02  
1.6180e-01  5.3708e+01  4.8759e+02  
2.2167e-01  1.1344e+02  9.1685e+02  
2.8155e-01  2.1707e+02  1.4692e+03  
3.4143e-01  3.8685e+02  2.1683e+03  
4.0131e-01  6.5999e+02  2.9937e+03  
4.6119e-01  1.0918e+03  3.9628e+03  
5.2107e-01  1.7264e+03  5.0611e+03  
5.8095e-01  2.6759e+03  6.3136e+03  
6.4083e-01  3.9834e+03  7.7390e+03  
7.0071e-01  5.7218e+03  9.2524e+03  
7.6059e-01  7.9294e+03  1.1005e+04  
8.2047e-01  1.0603e+04  1.2788e+04  
8.8034e-01  1.3692e+04  1.4775e+04  
9.4022e-01  1.7061e+04  1.6961e+04  
1.0001e+00  2.0605e+04  1.9237e+04  
1.0600e+00  2.4178e+04  2.1617e+04  
1.1199e+00  2.7733e+04  2.4327e+04  
1.1797e+00  3.1142e+04  2.7040e+04  
1.2396e+00  3.4367e+04  2.9932e+04  
1.2995e+00  3.7495e+04  3.3075e+04  
1.3594e+00  4.0515e+04  3.6228e+04  
1.4193e+00  4.3523e+04  3.9668e+04  
1.4791e+00  4.6586e+04  4.3296e+04  
1.5390e+00  4.9703e+04  4.6964e+04  
1.5989e+00  5.2966e+04  5.0832e+04  
1.6588e+00  5.6452e+04  5.4938e+04  
1.7187e+00  6.0179e+04  5.9227e+04  
1.7785e+00  6.4187e+04  6.3532e+04  
1.8384e+00  6.8479e+04  6.8124e+04  
1.8983e+00  7.3016e+04  7.2733e+04  
1.9582e+00  7.7778e+04  7.7612e+04  
2.0180e+00  8.2843e+04  8.2691e+04  
2.0779e+00  8.8136e+04  8.7793e+04  
2.1378e+00  9.3481e+04  9.3096e+04  
2.1977e+00  9.9120e+04  9.8638e+04  
2.2576e+00  1.0482e+05  1.0434e+05  
2.3174e+00  1.1075e+05  1.0995e+05  
2.3773e+00  1.1666e+05  1.1595e+05  
2.4372e+00  1.2276e+05  1.2192e+05  
2.4971e+00  1.2891e+05  1.2821e+05  
2.5570e+00  1.3512e+05  1.3442e+05  
2.6168e+00  1.4151e+05  1.4087e+05  
2.6767e+00  1.4800e+05  1.4746e+05  
2.7366e+00  1.5463e+05  1.5430e+05  
2.7965e+00  1.6132e+05  1.6120e+05  
2.8564e+00  1.6826e+05  1.6824e+05  
2.9162e+00  1.7531e+05  1.7547e+05  
2.9761e+00  1.8251e+05  1.8257e+05  
3.0360e+00  1.8990e+05  1.9021e+05  
3.0959e+00  1.9743e+05  1.9777e+05  
3.1557e+00  2.0505e+05  2.0531e+05  
3.2156e+00  2.1303e+05  2.1310e+05  
3.2755e+00  2.2104e+05  2.2120e+05  
3.3354e+00  2.2925e+05  2.2943e+05  
3.3953e+00  2.3766e+05  2.3759e+05  
3.4551e+00  2.4611e+05  2.4594e+05  
3.5150e+00  2.5489e+05  2.5432e+05  
3.5749e+00  2.6373e+05  2.6324e+05  
3.6348e+00  2.7253e+05  2.7209e+05  
3.6947e+00  2.8168e+05  2.8137e+05  
3.7545e+00  2.9094e+05  2.9023e+05  
3.8144e+00  3.0040e+05  2.9977e+05  
3.8743e+00  3.0987e+05  3.0906e+05  
3.9342e+00  3.1955e+05  3.1851e+05  
3.9941e+00  3.2939e+05  3.2850e+05  
4.0539e+00  3.3934e+05  3.3822e+05  
