========POTENTIAL SUMMARIES========
POTENTIAL LJGaussAA
arg          val          deriv       
  3.9600e+00   8.3212e-03  -1.6476e-02
  4.0200e+00   7.3825e-03  -1.4839e-02
  4.0800e+00   6.5378e-03  -1.3337e-02
  4.1400e+00   5.7794e-03  -1.1963e-02
  4.2000e+00   5.0998e-03  -1.0710e-02
  4.2600e+00   4.4920e-03  -9.5681e-03
  4.3200e+00   3.9496e-03  -8.5311e-03
  4.3800e+00   3.4664e-03  -7.5913e-03
  4.4400e+00   3.0368e-03  -6.7417e-03
  4.5000e+00   2.6557e-03  -5.9753e-03
  4.5600e+00   2.3182e-03  -5.2856e-03
  4.6200e+00   2.0200e-03  -4.6662e-03
  4.6800e+00   1.7570e-03  -4.1114e-03
  4.7400e+00   1.5255e-03  -3.6154e-03
  4.8000e+00   1.3221e-03  -3.1730e-03
  4.8600e+00   1.1437e-03  -2.7793e-03
  4.9200e+00   9.8768e-04  -2.4297e-03
  4.9800e+00   8.5138e-04  -2.1199e-03
  5.0400e+00   7.3257e-04  -1.8461e-03
  5.1000e+00   6.2921e-04  -1.6045e-03
  5.1600e+00   5.3946e-04  -1.3918e-03
  5.2200e+00   4.6168e-04  -1.2050e-03
  5.2800e+00   3.9440e-04  -1.0412e-03
  5.3400e+00   3.3632e-04  -8.9797e-04
  5.4000e+00   2.8628e-04  -7.7295e-04
  5.4600e+00   2.4324e-04  -6.6405e-04
  5.5200e+00   2.0631e-04  -5.6941e-04
  5.5800e+00   1.7466e-04  -4.8731e-04
  5.6400e+00   1.4761e-04  -4.1626e-04
  5.7000e+00   1.2452e-04  -3.5488e-04
  5.7600e+00   1.0485e-04  -3.0198e-04
  5.8200e+00   8.8134e-05  -2.5647e-04
  5.8800e+00   7.3948e-05  -2.1741e-04
  5.9400e+00   6.1934e-05  -1.8394e-04


POTENTIAL ExtSin
arg          val          deriv       
  0.0000e+00   0.0000e+00   1.0472e-01
  1.0000e-01   1.0471e-02   1.0470e-01
  2.0000e-01   2.0938e-02   1.0463e-01
  3.0000e-01   3.1395e-02   1.0451e-01
  4.0000e-01   4.1839e-02   1.0435e-01
  5.0000e-01   5.2264e-02   1.0415e-01
  6.0000e-01   6.2667e-02   1.0389e-01
  7.0000e-01   7.3042e-02   1.0360e-01
  8.0000e-01   8.3384e-02   1.0325e-01
  9.0000e-01   9.3691e-02   1.0286e-01
  1.0000e+00   1.0396e-01   1.0243e-01
  1.1000e+00   1.1418e-01   1.0195e-01
  1.2000e+00   1.2434e-01   1.0143e-01
  1.3000e+00   1.3446e-01   1.0086e-01
  1.4000e+00   1.4452e-01   1.0025e-01
  1.5000e+00   1.5451e-01   9.9594e-02
  1.6000e+00   1.6443e-01   9.8895e-02
  1.7000e+00   1.7429e-01   9.8152e-02
  1.8000e+00   1.8406e-01   9.7366e-02
  1.9000e+00   1.9376e-01   9.6537e-02
  2.0000e+00   2.0337e-01   9.5666e-02
  2.1000e+00   2.1289e-01   9.4753e-02
  2.2000e+00   2.2232e-01   9.3799e-02
  2.3000e+00   2.3165e-01   9.2803e-02
  2.4000e+00   2.4088e-01   9.1767e-02
  2.5000e+00   2.5000e-01   9.0690e-02
  2.6000e+00   2.5901e-01   8.9574e-02
  2.7000e+00   2.6791e-01   8.8418e-02
  2.8000e+00   2.7670e-01   8.7223e-02
