#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
17000	43358.484375	3032.4818598683923	46390.96623486839	121.5744342315984	2.0	19.926465388026116	4.29e+03
17100	43367.16796875	3023.0650439336896	46390.23301268369	121.19690713583061	2.0	19.926465388026116	4.29e+03
17200	43382.2421875	3041.628403007053	46423.87059050705	121.9411258916454	2.0	19.926465388026116	4.29e+03
17300	43370.609375	3008.7100771469995	46379.319452147	120.62140593049745	2.0	19.926465388026116	4.3e+03
17400	43366.796875	3040.111312762834	46406.908187762834	121.88030462489357	2.0	19.926465388026116	4.3e+03
17500	43346.44140625	2999.4754007160664	46345.916806966066	120.25118094176453	2.0	19.926465388026116	4.31e+03
17600	43350.3359375	3038.1935770595446	46388.529514559545	121.80342118620968	2.0	19.926465388026116	4.31e+03
17700	43335.9765625	3019.0696170041338	46355.046179504134	121.03672752357879	2.0	19.926465388026116	4.32e+03
17800	43351.21875	2996.8369456422515	46348.05569564225	120.1454033319824	2.0	19.926465388026116	4.33e+03
17900	43366.828125	2949.6716479817405	46316.49977298174	118.25451176414614	2.0	19.926465388026116	4.33e+03
18000	43369.3984375	2983.041961796116	46352.440399296116	119.5923522557261	2.0	19.926465388026116	4.33e+03
18100	43368.26171875	2975.9301652191207	46344.19188396912	119.3072350859713	2.0	19.926465388026116	4.34e+03
18200	43348.625	3000.8978181888815	46349.52281818888	120.30820670728919	2.0	19.926465388026116	4.34e+03
18300	43357.5703125	3027.0638507911935	46384.63416329119	121.35722225188661	2.0	19.926465388026116	4.35e+03
18400	43362.328125	3052.9949821280316	46415.32310712803	122.3968204315104	2.0	19.926465388026116	4.35e+03
18500	43361.33984375	2841.514869960898	46202.8547137109	113.91842676716378	2.0	19.926465388026116	4.33e+03
18600	43349.5703125	2847.9627438917523	46197.53305639175	114.17692678838874	2.0	19.926465388026116	4.32e+03
18700	43354.578125	2983.257305617444	46337.835430617444	119.6009855483402	2.0	19.926465388026116	4.3e+03
18800	43360.07421875	2904.9047786456067	46264.97899739561	116.4597749566862	2.0	19.926465388026116	4.29e+03
18900	43379.984375	2956.6050785642583	46336.58945356426	118.53247810963657	2.0	19.926465388026116	4.28e+03
19000	43378.34375	2933.8248126599938	46312.168562659994	117.61920044898257	2.0	19.926465388026116	4.27e+03
19100	43368.4375	3003.440633795457	46371.87813379546	120.41015006029512	2.0	19.926465388026116	4.27e+03
19200	43347.6953125	3098.5254855910316	46446.22079809103	124.22217189430012	2.0	19.926465388026116	4.27e+03
19300	43335.5546875	3032.38011934713	46367.93480684713	121.57035537906688	2.0	19.926465388026116	4.28e+03
19400	43352.59375	3013.9440286848694	46366.53777868487	120.83123890771425	2.0	19.926465388026116	4.28e+03
19500	43361.34375	3007.8927507591434	46369.23650075914	120.58863871282628	2.0	19.926465388026116	4.29e+03
19600	43351.8828125	2959.517353949137	46311.40016644914	118.649233377633	2.0	19.926465388026116	4.29e+03
19700	43366.69140625	2979.789801071398	46346.4812073214	119.46197073378848	2.0	19.926465388026116	4.3e+03
19800	43351.53125	2978.037939831149	46329.56918983115	119.39173732466108	2.0	19.926465388026116	4.3e+03
19900	43347.66015625	3038.0934960138984	46385.7536522639	121.79940886327948	2.0	19.926465388026116	4.31e+03
20000	43368.1796875	2994.2150379479863	46362.394725447986	120.04028911885018	2.0	19.926465388026116	4.31e+03
100	43345.5078125	2966.9109703055583	46312.41878280556	118.94564891018838	2.0	19.926465388026116	4.28e+03
200	43358.8671875	3001.1026184977964	46359.969805997796	120.31641730271477	2.0	19.926465388026116	4.25e+03
300	43338.7421875	3066.1046417797916	46404.84682927979	122.92239635538442	2.0	19.926465388026116	4.25e+03
400	43361.58984375	3063.9773414582014	46425.5671852082	122.83711131659798	2.0	19.926465388026116	4.25e+03
500	43347.078125	2989.8320590546355	46336.910184054635	119.86457226254844	2.0	19.926465388026116	4.25e+03
600	43365.32421875	2993.1037759274477	46358.42799467745	119.99573780488589	2.0	19.926465388026116	4.25e+03
700	43341.10546875	2950.3821089547127	46291.48757770471	118.28299466852087	2.0	19.926465388026116	4.23e+03
800	43365.7421875	3018.903983262833	46384.64617076283	121.03008714473438	2.0	19.926465388026116	4.21e+03
900	43373.5	2941.39318104228	46314.89318104228	117.9226219191353	2.0	19.926465388026116	4.2e+03
1000	43367.2578125	2919.6203663633205	46286.87817886332	117.04973372110373	2.0	19.926465388026116	4.18e+03
1100	43362.25	2929.56981530739	46291.81981530739	117.44861446703635	2.0	19.926465388026116	4.16e+03
1200	43368.5390625	3009.503130010329	46378.04219251033	120.6532000046685	2.0	19.926465388026116	4.14e+03
1300	43355.3125	3002.7302954383194	46358.04279543832	120.38167207167965	2.0	19.926465388026116	4.12e+03
1400	43368.4375	2955.7493821382523	46324.18688213825	118.49817260883789	2.0	19.926465388026116	4.11e+03
1500	43363.5078125	3045.0258164554834	46408.53362895548	122.0773307024012	2.0	19.926465388026116	4.1e+03
1600	43352.9453125	3030.5995590649545	46383.544871564955	121.49897140418298	2.0	19.926465388026116	4.08e+03
1700	43369.96875	3019.952836527489	46389.92158652749	121.0721364456486	2.0	19.926465388026116	4.07e+03
1800	43377.7578125	2971.604159358889	46349.36197185889	119.13380232058515	2.0	19.926465388026116	4.06e+03
1900	43365.46875	2902.7819400334265	46268.25069003343	116.37466879112056	2.0	19.926465388026116	4.04e+03
2000	43351.52734375	3008.154214226175	46359.681557976175	120.5991209760501	2.0	19.926465388026116	4.03e+03
2100	43358.703125	2990.191355598625	46348.894480598625	119.87897672597984	2.0	19.926465388026116	4.01e+03
2200	43356.4140625	2933.210543439025	46289.624605939025	117.59457394288752	2.0	19.926465388026116	4e+03
2300	43356.6640625	2899.2482170439034	46255.9122795439	116.23299923033343	2.0	19.926465388026116	4e+03
2400	43365.6328125	3027.382509539835	46393.015322039835	121.36999751613195	2.0	19.926465388026116	4e+03
2500	43337.5703125	2962.8656149482413	46300.43592744824	118.78346763044516	2.0	19.926465388026116	4e+03
2600	43364.484375	3041.6211070353165	46406.10548203532	121.94083339075767	2.0	19.926465388026116	4e+03
2700	43362.890625	3010.371285552159	46373.26191055216	120.68800500060921	2.0	19.926465388026116	4e+03
2800	43371.671875	2945.4454241944477	46317.11729919445	118.08507933565387	2.0	19.926465388026116	4e+03
2900	43341.23046875	3041.7405342337443	46382.971002983744	121.94562131522076	2.0	19.926465388026116	4e+03
3000	43343.8203125	3008.71511979989	46352.53543229989	120.62160809417081	2.0	19.926465388026116	3.99e+03
3100	43350.18359375	2990.944243785925	46341.127837535925	119.90916056866725	2.0	19.926465388026116	3.98e+03
3200	43368.29296875	2960.008684319444	46328.301653069444	118.66893117453704	2.0	19.926465388026116	3.98e+03
3300	43347.66015625	2932.8604997885413	46280.52065603854	117.5805404347808	2.0	19.926465388026116	3.98e+03
3400	43354.66796875	2964.94031635765	46319.60828510765	118.86664394005028	2.0	19.926465388026116	3.98e+03
3500	43366.0234375	3008.0425832616165	46374.06602076162	120.59464560835261	2.0	19.926465388026116	3.98e+03
3600	43360.26171875	2994.4693641928025	46354.7310829428	120.05048524557166	2.0	19.926465388026116	3.98e+03
